2012-07-22 06:00:00.622074  29.26238614762 -87.57755235164
2012-07-22 06:15:00.624958  29.26405494598 -87.57765613791
2012-07-22 06:30:00.627841  29.26571855373 -87.57768311455
2012-07-22 06:45:00.630714  29.26735573738 -87.57762792664
2012-07-22 07:00:00.633598  29.26895059978 -87.57747128692
2012-07-22 07:15:00.636481  29.27050189148 -87.57719092423
2012-07-22 07:30:00.639354  29.27202822415 -87.57677045325
2012-07-22 07:45:00.642238  29.27356557715 -87.57620066487
2012-07-22 08:00:00.645121  29.27515712340 -87.57547579015
2012-07-22 08:15:00.647994  29.27683839899 -87.57459173874
2012-07-22 08:30:00.650878  29.27862197413 -87.57354918478
2012-07-22 08:45:00.653761  29.28048658324 -87.57235806729
2012-07-22 09:00:00.656634  29.28237621696 -87.57103892875
2012-07-22 09:15:00.659518  29.28421260771 -87.56962018339
2012-07-22 09:30:00.662401  29.28591826779 -87.56813302747
2012-07-22 09:45:00.665275  29.28744142720 -87.56660568280
2012-07-22 10:00:00.668158  29.28877307429 -87.56505906517
2012-07-22 10:15:00.671041  29.28994794909 -87.56350605066
2012-07-22 10:30:00.673915  29.29102686872 -87.56195447820
2012-07-22 10:45:00.676798  29.29206820755 -87.56041106220
2012-07-22 11:00:00.679681  29.29310374531 -87.55888179482
2012-07-22 11:15:00.682555  29.29413020098 -87.55736634112
2012-07-22 11:30:00.685438  29.29511687244 -87.55584972223
2012-07-22 11:45:00.688321  29.29602229031 -87.55429957314
2012-07-22 12:00:00.691195  29.29681208874 -87.55267555891
2012-07-22 12:15:00.694078  29.29747229591 -87.55094791285
2012-07-22 12:30:00.696961  29.29801325216 -87.54911300354
2012-07-22 12:45:00.699835  29.29846171759 -87.54719605984
2012-07-22 13:00:00.702718  29.29884525489 -87.54524092374
2012-07-22 13:15:00.705602  29.29917865654 -87.54329429600
2012-07-22 13:30:00.708475  29.29946038394 -87.54139409342
2012-07-22 13:45:00.711358  29.29967903447 -87.53956611568
2012-07-22 14:00:00.714242  29.29982354741 -87.53782568371
2012-07-22 14:15:00.717115  29.29989097082 -87.53617960790
2012-07-22 14:30:00.719998  29.29988835546 -87.53462702531
2012-07-22 14:45:00.722882  29.29982766298 -87.53316030395
2012-07-22 15:00:00.725755  29.29971663647 -87.53176893087
2012-07-22 15:15:00.728638  29.29955330969 -87.53044778257
2012-07-22 15:30:00.731522  29.29932951155 -87.52920552949
2012-07-22 15:45:00.734395  29.29903964800 -87.52806570246
2012-07-22 16:00:00.737278  29.29868651535 -87.52705724156
2012-07-22 16:15:00.740162  29.29827968667 -87.52619945023
2012-07-22 16:30:00.743035  29.29782862973 -87.52549082895
2012-07-22 16:45:00.745918  29.29733571526 -87.52490875216
2012-07-22 17:00:00.748802  29.29679362968 -87.52442016252
2012-07-22 17:15:00.751675  29.29618972843 -87.52399702181
2012-07-22 17:30:00.754559  29.29551605989 -87.52362852959
2012-07-22 17:45:00.757442  29.29477911930 -87.52332478318
